"Χρονική σήμανση","Σε ποιο Εργασιακό Περιβάλλον /Τομέα/ Μονάδα εργάζεστε;","Σε ποιο τμήμα του Παθολογικού Τομέα εργάζεστε;","Σε ποιο τμήμα του Χειρουργικού Τομέα εργάζεστε;","Σε ποιο τμήμα του Εργαστηριακού Τομέα εργάζεστε;","Παρακαλώ γράψτε το όνομα του Τομέα που εργάζεστε.","1. Οι εργαζόμενοι υποστηρίζουν ο ένας τον άλλον.","2. Υπάρχει επαρκές προσωπικό για τη διεκπεραίωση της εργασίας.","3. Όταν υπάρχει μεγάλος όγκος εργασίας που πρέπει να γίνει άμεσα, το προσωπικό εργάζεται ομαδικά για την ολοκλήρωση της.","4. Υπάρχει σεβασμός ανάμεσα στους εργαζομένους.","5. Το προσωπικό εργάζεται περισσότερες ώρες από αυτές που διασφαλίζουν ασφαλή φροντίδα για τον ασθενή.","6. Το προσωπικό εργάζεται δυναμικά για τη βελτίωση της ασφάλειας του ασθενούς.","7. Αξιοποιείται περισσότερο προσωρινό προσωπικό από αυτό που διασφαλίζει την ασφαλή φροντίδα του ασθενούς.","8. Το προσωπικό αισθάνεται ότι τα λάθη του μπορεί να χρησιμοποιηθούν εναντίον του. ","9. Τα λάθη οδήγησαν σε θετικές αλλαγές.","10. Από τύχη δεν συμβαίνουν σοβαρά λάθη.","11. Όταν υπάρχει μεγάλος φόρτος εργασίας παρέχεται βοήθεια από άλλες Μονάδες.","12. Όταν δηλώνεται ένα δυσμενές συμβάν, υπάρχει η αίσθηση ότι καταγράφεται το άτομο και όχι το καθαυτό συμβάν.","13. Όταν γίνονται αλλαγές για τη βελτίωση της ασφάλειας του ασθενούς, αξιολογείται η αποτελεσματικότητά τους.","14. Το προσωπικό εργάζεται σε «κατάσταση κρίσης» προσπαθώντας να κάνει πολλά πράγματα γρήγορα.","15. Η ασφάλεια του ασθενούς αποτελεί προτεραιότητα ακόμα και όταν υπάρχει φόρτος εργασίας. ","16. Το προσωπικό ανησυχεί ότι τα λάθη του καταγράφονται στο προσωπικό του φάκελο.","17. Υπάρχει πρόβλημα ασφάλειας του ασθενούς.","18. Οι διαδικασίες διεκπεραίωσης της εργασίας και το σύστημα εν γένει συμβάλλει στην πρόληψη δυσμενών συμβάντων.","1. Επιβραβεύει το προσωπικό με καλά λόγια όταν τηρούνται οι διαδικασίες ασφαλούς φροντίδας του ασθενούς.","2. Λαμβάνει σοβαρά υπόψη του τις προτάσεις του προσωπικού για βελτίωση της ασφάλειας του ασθενούς.","3. Παροτρύνει το προσωπικό να εργάζεται γρηγορότερα όταν υπάρχει υπερβολικός φόρτος εργασίας και πίεση, ακόμη και όταν παραβλέπονται σημαντικές διαδικασίες ασφάλειας του ασθενούς.","4. Παραβλέπει επαναλαμβανόμενα προβλήματα ασφάλειας του ασθενούς.","1. Γίνεται συστηματική αξιολόγηση των αλλαγών που τίθενται σε εφαρμογή, βάσει δυσμενών συμβάντων που έχουν αναφερθεί. ","2. Το προσωπικό μιλάει ελεύθερα όταν διαπιστώσει κάτι που επιδρά αρνητικά στη φροντίδα υγείας του ασθενούς.","3. Το προσωπικό ενημερώνεται συχνά για τα δυσμενή συμβάντα που λαμβάνουν χώρα.","4. Το προσωπικό μπορεί ελεύθερα να αμφισβητήσει τις αποφάσεις ή τις ενέργειες των ανωτέρων του.","5. Το προσωπικό συζητά τρόπους πρόληψης δυσμενών συμβάντων ώστε να μην επαναληφθούν.","6. Το προσωπικό φοβάται να ρωτήσει, όταν κάτι δεν φαίνεται σωστό.","…..αλλά εντοπιστεί και διορθωθεί πριν επηρεάσει τον ασθενή ","……αλλά δεν έχει πιθανότητα να βλάψει τον ασθενή.","…..που θα μπορούσε να βλάψει τον ασθενή, αλλά δεν τον επηρέασε ","Παρακαλώ αξιολογήστε το επίπεδο ασφάλειας των ασθενών συνολικά στο Εργασιακό Περιβάλλον/Μονάδα σας επιλέγοντας με √ την απάντηση που σας εκφράζει.","1. Η Διοίκηση εξασφαλίζει εργασιακό κλίμα που προάγει την ασφάλεια του ασθενούς .","2. Υπάρχει ελλιπής συντονισμός μεταξύ των Μονάδων.","3. Η μεταφορά ασθενούς από τη μία Μονάδα στην άλλη συνήθως συνοδεύεται από προβλήματα.","4. Υπάρχει καλή συνεργασία ανάμεσα στις Μονάδες όταν αυτό απαιτείται.","5. Συχνά, σημαντικές πληροφορίες σχετικά με τη νοσηλεία του ασθενούς χάνονται κατά την αλλαγή της βάρδιας.","6. Η συνεργασία με το προσωπικό άλλων Μονάδων είναι συχνά δυσάρεστη.","7. Συχνά παρουσιάζονται διάφορα προβλήματα κατά την ανταλλαγή πληροφοριών μεταξύ των Μονάδων.","8. Η ασφάλεια του ασθενούς αποτελεί κύρια προτεραιότητα για την Διοίκηση.","9. Η Διοίκηση δείχνει να ενδιαφέρεται για την ασφάλεια του ασθενούς μόνο μετά από την αναφορά κάποιου δυσμενούς συμβάντος.","10. Οι Μονάδες συνεργάζονται καλά μεταξύ τους για την παροχή άριστης ποιοτικά φροντίδας υγείας στον ασθενή.","11. Η αλλαγή βάρδιας είναι προβληματική για τον ασθενή.","Τους τελευταίους 12 μήνες πόσα δυσμενή συμβάντα έχετε αναφέρει; (Αναφέρετε έναν αριθμό)","1. Φύλο: ","2. Ηλικία…","3α. Ποια είναι η βασική σας εκπαίδευση;","3β. Άλλες σπουδές:","7. Πόσο χρονικό διάστημα εργάζεστε στο συγκεκριμένο Νοσοκομείο;","8. Πόσο χρονικό διάστημα εργάζεστε στη συγκεκριμένη μονάδα ?","9. Συνήθως πόσες ώρες την εβδομάδα εργάζεστε στο συγκεκριμένο Νοσοκομείο; …","10. Τι θέση κατέχετε στο νοσοκομείο που εργάζεστε;","12. Πόσο χρονικό διάστημα εργάζεστε στην παρούσα ειδικότητα ή επάγγελμα; (Αθροιστικά στο τρέχον νοσοκομείο και σε τυχόν άλλα)","Παρακαλώ, καταγράψτε ελεύθερα τυχόν σχόλια και παρατηρήσεις σχετικά με ζητήματα ασφάλειας των ασθενών, ιατρικών λαθών και την αναφορά δυσμενών συμβάντων εντός του νοσοκομείου σας."
"2022/09/02 1:24:16 μ.μ. EET","Άλλο","","","","ΔΙΕΥΘΥΝΣΗ ΝΟΣΗΛΕΥΤΙΚΗΣ ΥΠΗΡΕΣΙΑΣ","4","4","4","4","4","4","5","3","4","4","5","2","4","4","4","2","4","5","4","4","2","1","4","4","4","4","4","2","4","3","4","Καλό","4","2","2","4","3","2","3","4","4","4","3","10","Άνδρας","53","2. Τεχνολογική (Τ.Ε.)","3. Διδακτορικό δίπλωμα","30","3 ΕΤΗ","60","4. ΤΕ Νοσηλευτής","30",""
"2022/10/03 1:04:09 μ.μ. EET","Άλλο","","","","ΕΞΩΤΕΡΙΚΑ ΙΑΤΡΕΙΑ","3","4","4","4","2","4","2","3","3","3","4","3","2","1","5","5","2","5","5","5","4","1","4","5","4","1","4","1","4","5","5","Πολύ Καλό","5","1","1","5","1","1","1","5","1","4","1","ΚΑΝΕΝΑ","Γυναίκα","47","2. Τεχνολογική (Τ.Ε.)","","22 ΕΤΗ","5 ΕΤΗ","40","4. ΤΕ Νοσηλευτής","5 ΕΤΗ",""
"2022/10/03 1:31:16 μ.μ. EET","Χειρουργικός Τομέας","","Άλλο","","ΑΙΜΟΔΟΣΙΑ","3","3","2","3","2","4","5","1","1","1","1","1","5","2","4","1","1","3","3","3","1","1","5","5","5","1","4","2","5","4","4","Πολύ Καλό","4","3","3","3","4","3","4","5","1","2","3","ΚΑΝΕΝΑ","Γυναίκα","","2. Τεχνολογική (Τ.Ε.)","1. Ειδικότητα","","","","4. ΤΕ Νοσηλευτής","",""
"2022/10/04 6:58:27 π.μ. EET","Μονάδα Εντατικής Θεραπείας (ΜΕΘ)","","","","","4","4","4","4","3","4","2","3","4","2","2","2","4","3","4","2","1","4","4","4","5","1","4","5","5","5","5","2","4","3","4","Άριστο","5","2","2","4","2","2","2","5","2","3","2","1","Άνδρας","52","2. Τεχνολογική (Τ.Ε.)","3. Διδακτορικό δίπλωμα","17 έτη ","2 έτη ","50","4. ΤΕ Νοσηλευτής","24",""
"2022/10/04 6:59:47 π.μ. EET","Χειρουργικός Τομέας","","Καρδιοχειρουργικό","","","4","2","4","4","5","4","4","5","4","3","2","3","3","5","4","3","3","3","3","3","3","2","3","4","4","3","3","2","4","4","4","Καλό","2","3","3","4","3","2","3","3","3","4","3","0","Άνδρας","48","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","15","2","45","4. ΤΕ Νοσηλευτής","25",""
"2022/10/04 7:01:44 π.μ. EET","Ψυχιατρικός Τομέας","","","","","5","2","4","5","5","4","4","3","5","4","5","4","4","5","5","4","3","3","5","4","3","1","4","4","5","4","5","1","4","5","5","Πολύ Καλό","4","3","2","5","2","1","2","5","4","4","1","2","Άνδρας","55","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","35","35","40","4. ΤΕ Νοσηλευτής","35",""
"2022/10/04 7:15:31 π.μ. EET","Παθολογικός Τομέας","Ογκολογικό","","","","4","2","4","4","2","4","4","4","2","4","3","4","3","5","5","3","2","2","4","4","2","1","3","2","3","2","4","3","3","2","2","Καλό","2","5","4","3","2","2","3","3","4","3","2","KANENA","Γυναίκα","50","2. Τεχνολογική (Τ.Ε.)","1. Ειδικότητα","26 ETH","9 ETH","40","4. ΤΕ Νοσηλευτής","26 ETH",""
"2022/10/04 7:19:33 π.μ. EET","Εργαστηριακός Τομέας","","","Άλλο","πνευμονολογικο","4","2","3","4","2","3","5","3","3","4","1","1","5","4","5","3","3","2","5","5","4","1","5","5","5","5","5","3","5","5","5","Καλό","3","3","3","3","1","3","3","3","3","3","1","1","Γυναίκα","57","2. Τεχνολογική (Τ.Ε.)","1. Ειδικότητα","30","15","40","4. ΤΕ Νοσηλευτής","32",""
"2022/10/04 7:47:03 π.μ. EET","Χειρουργικός Τομέας","","Άλλο","","Πυρηνική ιατρική","5","3","5","5","1","5","1","4","4","1","","1","5","5","5","1","1","5","5","5","1","1","4","5","5","5","5","1","4","4","4","Άριστο","5","3","3","5","1","1","3","5","1","3","1","0","Γυναίκα","48","2. Τεχνολογική (Τ.Ε.)","1. Ειδικότητα","15","15","7","4. ΤΕ Νοσηλευτής","26",""
"2022/10/04 10:12:20 π.μ. EET","Παθολογικός Τομέας","Νευρολογικό","","","","4","2","5","5","2","5","2","3","4","1","1","2","4","4","5","3","1","4","4","4","4","2","4","5","5","3","5","1","5","5","5","Καλό","4","2","1","4","1","2","2","5","3","4","1","3","Γυναίκα","60","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","40","35","60-65","4. ΤΕ Νοσηλευτής","40",""
"2022/10/04 10:47:50 π.μ. EET","Παθολογικός Τομέας","Νευρολογικό","","","","4","4","4","4","4","5","3","4","4","1","3","4","3","3","5","4","1","4","4","4","1","1","4","4","4","3","4","2","5","5","5","Άριστο","4","2","2","4","1","1","2","5","2","5","1","0","Γυναίκα","50","1. Δευτεροβάθμια (Δ.Ε.)","","14 eth","14","40","5. ΔΕ Βοηθός Νοσηλευτή","20 3th",""
"2022/10/04 11:01:18 π.μ. EET","Παθολογικός Τομέας","Νευρολογικό","","","","5","4","5","5","2","5","2","4","4","1","1","1","5","2","5","4","2","4","5","5","1","1","5","5","5","5","5","1","5","4","5","Πολύ Καλό","4","2","2","4","2","2","2","4","2","4","1","1","Γυναίκα","50","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","25 έτη","10 έτη","40 ώρες","4. ΤΕ Νοσηλευτής","27 έτη",""
"2022/10/04 12:35:10 μ.μ. EET","Άλλο","","","","ΔΙΕΥΘΥΝΣΗ ΝΟΣΗΛΕΥΤΙΚΗΣ ΥΠΗΡΕΣΙΑΣ","5","3","5","5","4","4","3","2","4","2","4","1","3","4","4","1","2","3","5","5","2","2","3","4","3","3","4","1","4","3","4","Πολύ Καλό","4","2","2","5","2","2","2","4","1","4","2","","Γυναίκα","38","3. Πανεπιστημιακή (Π.Ε.)","3. Διδακτορικό δίπλωμα","16 ΕΤΗ","2,5 ΕΤΗ","40-50","3. ΠΕ Νοσηλευτής","16 ΕΤΗ",""
"2022/10/04 1:15:55 μ.μ. EET","","Άλλο","","","ΧΕΙΡΟΥΡΓΙΚΟΣ ΤΟΜΕΑΣ","4","4","4","3","3","5","2","4","4","2","2","4","2","2","5","4","1","4","4","3","2","1","2","3","3","1","4","3","2","3","3","Πολύ Καλό","4","2","2","4","2","2","2","4","2","4","1","0","Άνδρας","55","2. Τεχνολογική (Τ.Ε.)","","30","30","40","4. ΤΕ Νοσηλευτής","30",""
"2022/10/04 2:02:00 μ.μ. EET","Άλλο","","","","ΔΙΕΥΘΥΝΣΗ ΝΟΣΗΛΕΥΤΙΚΗΣ ΥΠΗΡΕΣΙΑΣ","4","4","4","4","2","4","2","2","3","2","3","3","2","3","5","3","2","4","5","5","1","1","4","4","4","3","4","2","4","3","4","Πολύ Καλό","4","2","2","4","2","2","3","4","2","4","2","","Γυναίκα","39","3. Πανεπιστημιακή (Π.Ε.)","3. Διδακτορικό δίπλωμα","16","3","50","3. ΠΕ Νοσηλευτής","17",""
"2022/10/04 2:12:21 μ.μ. EET","Άλλο","","","","Διοικητικο-Γραφειο νοσηλευτικης υπηρεσιας","4","3","4","4","3","4","3","3","3","1","2","3","3","4","4","3","3","4","4","4","3","3","3","3","3","1","3","3","4","4","4","Καλό","4","3","1","4","1","3","3","5","1","5","1","Δεν γνωριζω.","Γυναίκα","45","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","19","1 χρονο","40","5. ΔΕ Βοηθός Νοσηλευτή","21",""
"2022/10/05 11:12:18 π.μ. EET","Παθολογικός Τομέας","Αιματολογικό","","","","1","1","2","1","4","1","5","5","1","5","1","5","4","5","4","5","5","1","5","5","1","1","1","2","5","5","4","2","2","1","2","Κακό","1","5","3","3","5","3","4","3","5","1","5","50","Γυναίκα","41","1. Δευτεροβάθμια (Δ.Ε.)","","14 'Ετη","9 Μήνες","40","5. ΔΕ Βοηθός Νοσηλευτή","15 Έτη","Η έλλειψη προσωπικού είναι το μείζον θέμα και στο δικό μας νοσοκομείο.Είναι πρακτικά αδύνατο 2 άνθρωποι να εργάζονται με 30 ασθενείς στην καλύτερη περίπτωση και με 60 ασθενείς στα Παθολογικά τμήματα και αυτό να λέγεται Νοσηλευτική και ασφαλής φροντίδα των ασθενών. "
"2022/10/05 5:12:29 μ.μ. EET","Ψυχιατρικός Τομέας","","","","","4","4","4","3","1","2","3","4","5","2","2","2","5","3","5","2","4","3","5","5","1","1","4","4","5","3","5","2","5","2","3","Πολύ Καλό","4","4","3","3","2","3","3","3","4","3","3","6","Γυναίκα","37","3. Πανεπιστημιακή (Π.Ε.)","3. Διδακτορικό δίπλωμα","01/2019-σήμερα","01/2019-σήμερα","40","3. ΠΕ Νοσηλευτής","01/2019-σήμερα",""
"2022/10/06 8:07:00 π.μ. EET","Παθολογικός Τομέας","Καρδιολογικό","","","","4","4","5","5","1","5","2","2","4","1","2","2","5","1","5","2","1","5","5","5","2","1","5","5","5","4","5","1","5","5","5","Άριστο","5","1","1","5","1","1","1","5","1","5","1","2-3","Γυναίκα","58","2. Τεχνολογική (Τ.Ε.)","1. Ειδικότητα","36","35","40","4. ΤΕ Νοσηλευτής","36",""
"2022/10/06 8:13:38 π.μ. EET","Παθολογικός Τομέας","Καρδιολογικό","","","","5","5","5","5","1","5","1","1","5","1","1","1","5","1","5","1","2","5","5","5","2","1","5","5","5","5","5","1","5","5","5","Άριστο","5","1","1","5","1","1","1","5","1","5","1","2-3","Γυναίκα","54","1. Δευτεροβάθμια (Δ.Ε.)","","36","35","40","5. ΔΕ Βοηθός Νοσηλευτή","36",""
"2022/10/06 8:23:55 π.μ. EET","Παθολογικός Τομέας","Καρδιολογικό","","","","4","2","4","5","5","5","4","5","2","3","2","5","4","4","4","5","4","4","4","4","4","4","5","3","5","4","4","4","2","3","3","Πολύ Καλό","4","4","4","3","4","4","4","4","4","4","2","2","Άνδρας","49","3. Πανεπιστημιακή (Π.Ε.)","3. Διδακτορικό δίπλωμα","3ετη","3ετη","60","2. Ειδικός ιατρός","",""
"2022/10/06 8:27:06 π.μ. EET","Μονάδα Εντατικής Θεραπείας (ΜΕΘ)","","","","","3","1","3","3","4","4","4","4","3","2","1","3","4","3","1","5","2","4","4","3","3","2","3","4","5","3","4","3","3","3","3","Καλό","4","3","2","4","2","3","3","3","3","3","1","2","Γυναίκα","52","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","28,5 χρόνια.","18χρόνια","40","4. ΤΕ Νοσηλευτής","29 χρόνια",""
"2022/10/06 12:06:07 μ.μ. EET","Παθολογικός Τομέας","Αιματολογικό","","","","1","3","3","4","2","5","1","3","5","1","1","4","5","5","5","5","3","3","5","4","1","5","5","5","5","5","5","3","1","1","1","Πολύ Καλό","5","2","2","5","4","1","2","5","5","5","4","ΜΗΔΕΝ","Γυναίκα","62","3. Πανεπιστημιακή (Π.Ε.)","2. Μεταπτυχιακές σπουδές","38 ΕΤΗ","31 ΕΤΗ","40 ΩΡΕΣ","3. ΠΕ Νοσηλευτής","38 ΕΤΗ",""
"2022/10/06 12:16:07 μ.μ. EET","Παθολογικός Τομέας","Παθολογικό","","","","3","3","4","3","4","4","2","4","3","2","1","2","5","4","5","3","2","3","3","4","1","1","3","3","5","2","5","2","4","4","4","Πολύ Καλό","4","3","2","3","2","3","3","5","2","3","1","1","Γυναίκα","54","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","32","10","40","4. ΤΕ Νοσηλευτής","32",""
"2022/10/06 12:28:24 μ.μ. EET","","Παθολογικό","","","","3","4","4","3","4","5","5","3","4","1","1","3","4","3","5","2","1","3","3","4","2","1","4","4","4","2","4","2","4","4","4","Πολύ Καλό","4","3","2","4","2","3","3","5","2","5","1","0","Γυναίκα","54","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","32","10","40","3. ΠΕ Νοσηλευτής","32",""
"2022/10/06 12:31:45 μ.μ. EET","Άλλο","","","","ΕΞΩΤΕΡΙΚΑ ΙΑΤΡΕΙΑ","5","5","5","5","2","5","1","5","5","1","1","4","4","1","5","1","1","4","4","4","1","1","4","5","4","2","5","1","5","5","5","Άριστο","5","1","1","5","1","1","1","5","1","5","1","0","Γυναίκα","50","1. Δευτεροβάθμια (Δ.Ε.)","","28 ΕΤΗ","7 ΕΤΗ","50 ΩΡΕΣ","5. ΔΕ Βοηθός Νοσηλευτή","28",""
"2022/10/07 2:37:19 π.μ. EET","Άλλο","","","","Διατομεακος","3","2","3","2","5","5","4","5","4","1","1","4","4","5","5","3","1","2","2","4","4","1","3","4","5","2","2","2","2","2","3","Πολύ Καλό","3","4","3","4","1","3","3","5","3","3","1","0","Γυναίκα","39","1. Δευτεροβάθμια (Δ.Ε.)","","2.5","2.5","40","5. ΔΕ Βοηθός Νοσηλευτή","2.5 χρονια",""
"2022/10/07 6:59:53 π.μ. EET","","Άλλο","","","","4","4","4","4","4","4","4","4","4","3","2","2","","5","","3","","4","4","4","4","2","4","4","4","2","4","2","4","3","3","Καλό","4","2","2","4","1","1","1","5","2","4","1","","Γυναίκα","58","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","36 ετη","17 ετη","40","4. ΤΕ Νοσηλευτής","36 ετη",""
"2022/10/07 8:36:19 μ.μ. EET","Χειρουργικός Τομέας","","Πλαστική χειρουργική","","","5","2","5","4","4","4","4","4","4","3","4","2","3","3","5","","3","3","5","4","2","1","3","4","5","4","4","2","4","4","4","Πολύ Καλό","4","3","3","4","2","2","3","4","3","3","3","5","Άνδρας","54","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","26","2","45","4. ΤΕ Νοσηλευτής","27",""
"2022/10/07 11:02:16 μ.μ. EET","Μονάδα Εντατικής Θεραπείας (ΜΕΘ)","","","","","3","2","5","4","1","4","1","5","3","2","1","4","5","3","4","5","3","3","1","3","3","1","5","3","3","1","5","4","3","3","1","Πολύ Καλό","2","1","1","5","1","2","1","1","5","5","2","0","Γυναίκα","40","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","15 ΕΤΗ","15 ΕΤΗ","40","4. ΤΕ Νοσηλευτής","15 ΕΤΗ","Τα δυσμενή συμβαντα για να καταγραφονται σωστα θα πρεπει να ανφερονται ανωνυμα."
"2022/10/08 11:09:47 π.μ. EET","","Παθολογικό","","","","5","3","4","3","4","5","4","4","4","2","3","4","4","5","5","4","2","4","4","4","2","2","4","3","5","2","4","1","3","3","2","Καλό","3","3","3","4","2","","2","4","3","3","2","ΕΝΑ","Άνδρας","55","2. Τεχνολογική (Τ.Ε.)","1. Ειδικότητα","33 ΧΡΟΝΙΑ","29 ΧΡΟΝΙΑ","40 ΩΡΕΣ","4. ΤΕ Νοσηλευτής","33 ΧΡΟΝΙΑ","ΟΙ ΕΝΕΡΓΕΙΕΣ ΤΟΥ ΝΟΣΟΚΟΜΕΙΟΥ ΜΕ ΚΑΛΥΠΤΟΥΝ ΑΝ ΚΑΙ ΚΑΘΗΜΕΡΙΝΑ ΣΤΗ ΣΗΜΕΡΙΝΗ ΕΠΟΧΗ ΠΑΡΟΥΣΙΑΖΟΝΤΑΙ ΠΑΓΚΟΣΜΙΑ ΠΡΟΒΛΗΜΑΤΑ ΣΤΗΝ ΥΓΕΙΑ."
"2022/10/11 6:34:46 π.μ. EET","Άλλο","","","","ΤΑΚΤΙΚΑ ΕΞΩΤΕΡΙΚΑ ΙΑΤΡΕΙΑ","4","4","4","4","4","4","4","4","5","3","5","4","4","4","4","3","2","5","5","5","2","1","4","4","5","4","5","1","4","5","5","Πολύ Καλό","4","2","2","5","1","1","1","5","1","5","1","ΚΑΝΕΝΑ","Γυναίκα","54","2. Τεχνολογική (Τ.Ε.)","2. Μεταπτυχιακές σπουδές","31","12 ΧΡΟΝΙΑ","40 ΩΡΕΣ","4. ΤΕ Νοσηλευτής","31 ΧΡΟΝΙΑ",""
"2022/10/11 8:54:30 π.μ. EET","Παθολογικός Τομέας","Καρδιολογικό","","","","5","5","5","5","5","5","5","2","5","5","5","3","5","5","5","2","5","4","5","5","3","1","5","5","5","3","5","1","5","5","5","Καλό","3","4","1","5","1","","1","5","5","5","1","1","Γυναίκα","40","2. Τεχνολογική (Τ.Ε.)","","12 ΕΤΟΙ","7","25","4. ΤΕ Νοσηλευτής","12",""
"2022/10/11 9:10:23 π.μ. EET","Παθολογικός Τομέας","Καρδιολογικό","","","","4","4","5","5","1","5","2","5","4","1","1","1","5","5","5","2","3","5","5","5","1","1","5","5","5","4","5","1","5","5","5","Πολύ Καλό","5","1","1","4","1","1","2","5","1","5","1","ΚΑΝΕΝΑ","Γυναίκα","53","1. Δευτεροβάθμια (Δ.Ε.)","","30 ΕΤΗ","20 ΕΤΗ","40","5. ΔΕ Βοηθός Νοσηλευτή","31 ΕΤΗ",""
